iter	Logloss
0	0.6626355718
1	0.6335932357
2	0.6033949166
3	0.585697736
4	0.5741197322
5	0.5578551316
6	0.5402735006
7	0.5273559214
8	0.5145759901
9	0.4996469563
10	0.4871787114
11	0.4750166526
12	0.4632945352
13	0.4568380394
14	0.4533143677
15	0.4450141978
16	0.4419489396
17	0.436568247
18	0.4313840542
19	0.424606076
20	0.4200186857
21	0.4150355569
22	0.4102385169
23	0.4055932282
24	0.4013699248
25	0.3971773163
26	0.3945359528
27	0.3918028509
28	0.3890821643
29	0.3880169769
30	0.385426472
31	0.3828627407
32	0.380818344
33	0.3793693526
34	0.3780979235
35	0.3761892893
36	0.3749650357
37	0.3739138375
38	0.3725973923
39	0.3706934608
40	0.3680247532
41	0.3671864856
42	0.3660152995
43	0.3638876782
44	0.362281931
45	0.3617996362
46	0.3615000437
47	0.3606458657
48	0.3594442347
49	0.3584254041
50	0.3580352376
51	0.3574838287
52	0.3563258359
53	0.3554709605
54	0.3536945098
55	0.3533165834
56	0.3526468999
57	0.3519790694
58	0.3513524123
59	0.3504918146
60	0.3496880051
61	0.3492510461
62	0.3491383853
63	0.3490235188
64	0.3483961495
65	0.3472472725
66	0.3469432772
67	0.3465491416
68	0.3460647997
69	0.3456449564
70	0.3453631607
71	0.3444207875
72	0.3437696887
73	0.3437411017
74	0.3434832385
75	0.3431071997
76	0.342509835
77	0.3412168837
78	0.3411689133
79	0.3408837244
80	0.3405815874
81	0.3403519315
82	0.3400976511
83	0.3397179793
84	0.3396944336
85	0.3395970058
86	0.3387690207
87	0.3383530647
88	0.3377727551
89	0.3363656859
90	0.3358322386
91	0.3344337868
92	0.3338860031
93	0.3333352072
94	0.3330976082
95	0.3330310984
96	0.3318440451
97	0.3312542903
98	0.3306718102
99	0.3299679292
100	0.3296451473
101	0.3289989648
102	0.327722609
103	0.3272882769
104	0.3267622288
105	0.3258753888
106	0.3258309815
107	0.3255037105
108	0.3253791081
109	0.3250719774
110	0.3248375984
111	0.3241633234
112	0.3226673353
113	0.3224771577
114	0.3215600606
115	0.320519972
116	0.3197922976
117	0.3192563857
118	0.3192234756
119	0.3187088221
120	0.3185142707
121	0.3184662559
122	0.3171852586
123	0.3171379417
124	0.3170927282
125	0.316939308
126	0.3161958852
127	0.3159246437
128	0.3155607027
129	0.3149039929
130	0.313913508
131	0.3136768877
132	0.3136279123
133	0.3130466332
134	0.3130305734
135	0.3129483607
136	0.312099823
137	0.3107825682
138	0.3094163893
139	0.3086142466
140	0.3077888328
141	0.3073976016
142	0.3067697571
143	0.3061387146
144	0.3058176451
145	0.3054420051
146	0.3052564723
147	0.3049770869
148	0.3048712273
149	0.3045316529
150	0.3039927221
151	0.3034565806
152	0.3022457887
153	0.3014913343
154	0.3014809239
155	0.300663839
156	0.300309363
157	0.2995612713
158	0.2991698158
159	0.2988164265
160	0.298505741
161	0.2982375567
162	0.2971025068
163	0.296644283
164	0.2962744273
165	0.2953502687
166	0.294389956
167	0.2940419431
168	0.293554357
169	0.2921887723
170	0.29144363
171	0.2903461971
172	0.2888899578
173	0.2884773746
174	0.2868553481
175	0.286612091
176	0.2853865675
177	0.28495579
178	0.2833346318
179	0.2826776042
180	0.2822664217
181	0.2818103877
182	0.2813695962
183	0.281054114
184	0.2795857836
185	0.2789884084
186	0.2777406531
187	0.2775911736
188	0.2759993444
189	0.2757395728
190	0.2750409133
191	0.2743757765
192	0.2731008192
193	0.2725300762
194	0.2712813134
195	0.2706089368
196	0.2697349467
197	0.2692071259
198	0.2683134508
199	0.2678643889
200	0.2675619422
201	0.2669543337
202	0.2658308047
203	0.2640919853
204	0.2637640602
205	0.2627130466
206	0.2622733546
207	0.2611366174
208	0.2599155291
209	0.2593812753
210	0.2592352294
211	0.2589797552
212	0.2584584608
213	0.2582046241
214	0.2574350409
215	0.2567691425
216	0.2560750183
217	0.2557480447
218	0.254676414
219	0.2542343396
220	0.2534548764
221	0.2530679525
222	0.25300855
223	0.2529034088
224	0.2514110534
225	0.2500547817
226	0.2496339282
227	0.2487168513
228	0.2484444636
229	0.2479810274
230	0.2465704057
231	0.2463255537
232	0.2461962221
233	0.2456302081
234	0.2451781788
235	0.2449864573
236	0.2448679718
237	0.2446812214
238	0.2436742611
239	0.2430277397
240	0.2428615136
241	0.2423292796
242	0.2422599103
243	0.2413344519
244	0.2408656333
245	0.2405239287
246	0.2401694978
247	0.2396893932
248	0.2393349031
249	0.238633929
