iter	Passed	Remaining
0	1166	290357
1	1190	147647
2	1232	101506
3	1267	77979
4	1283	62878
5	1319	53660
6	1365	47392
7	1387	41981
8	1421	38077
9	1466	35194
10	1510	32814
11	1552	30785
12	1596	29108
13	1642	27693
14	1674	26237
15	1719	25142
16	1750	23989
17	1799	23189
18	1847	22464
19	1900	21850
20	1946	21221
21	1989	20623
22	2038	20114
23	2082	19609
24	2131	19182
25	2178	18771
26	2224	18373
27	2270	18003
28	2316	17650
29	2364	17339
30	2419	17092
31	2474	16858
32	2517	16556
33	2562	16277
34	2606	16009
35	2649	15751
36	2693	15505
37	2734	15253
38	2777	15026
39	2822	14816
40	2866	14612
41	2911	14420
42	2955	14226
43	3006	14077
44	3048	13887
45	3096	13734
46	3128	13512
47	3170	13340
48	3211	13173
49	3254	13018
50	3299	12874
51	3350	12756
52	3397	12630
53	3445	12506
54	3489	12371
55	3530	12232
56	3573	12101
57	3615	11970
58	3660	11851
59	3704	11731
60	3749	11615
61	3791	11497
62	3827	11360
63	3849	11188
64	3892	11079
65	3935	10971
66	3978	10867
67	4023	10768
68	4069	10674
69	4112	10576
70	4156	10479
71	4198	10380
72	4235	10268
73	4256	10124
74	4299	10031
75	4350	9960
76	4402	9891
77	4455	9824
78	4472	9681
79	4523	9613
80	4568	9530
81	4612	9450
82	4664	9384
83	4714	9315
84	4729	9181
85	4755	9068
86	4804	9001
87	4856	8941
88	4909	8880
89	4961	8819
90	5004	8744
91	5053	8679
92	5100	8611
93	5153	8551
94	5208	8497
95	5223	8379
96	5274	8319
97	5333	8272
98	5392	8224
99	5452	8179
100	5502	8118
101	5560	8067
102	5616	8016
103	5674	7966
104	5728	7910
105	5776	7846
106	5808	7762
107	5866	7713
108	5923	7663
109	5979	7610
110	6022	7541
111	6102	7519
112	6165	7474
113	6211	7410
114	6272	7363
115	6354	7340
116	6419	7297
117	6475	7244
118	6502	7158
119	6547	7093
120	6582	7018
121	6608	6933
122	6662	6878
123	6680	6788
124	6709	6709
125	6753	6646
126	6797	6583
127	6846	6525
128	6897	6469
129	6954	6419
130	7009	6367
131	7069	6319
132	7089	6236
133	7147	6187
134	7168	6106
135	7210	6044
136	7269	5995
137	7329	5948
138	7391	5902
139	7451	5854
140	7498	5796
141	7542	5736
142	7593	5681
143	7640	5624
144	7697	5574
145	7755	5524
146	7815	5476
147	7880	5430
148	7941	5383
149	8001	5334
150	8058	5283
151	8112	5230
152	8154	5170
153	8197	5109
154	8212	5033
155	8261	4977
156	8316	4926
157	8364	4870
158	8406	4811
159	8448	4752
160	8489	4693
161	8546	4642
162	8618	4600
163	8679	4551
164	8724	4494
165	8767	4436
166	8811	4379
167	8868	4328
168	8937	4283
169	8985	4228
170	9029	4171
171	9076	4115
172	9125	4061
173	9167	4004
174	9210	3947
175	9262	3894
176	9308	3839
177	9363	3787
178	9427	3739
179	9483	3688
180	9541	3637
181	9606	3589
182	9670	3540
183	9730	3490
184	9778	3435
185	9824	3380
186	9881	3329
187	9923	3272
188	9965	3216
189	10009	3160
190	10061	3108
191	10117	3056
192	10159	3000
193	10201	2944
194	10256	2892
195	10316	2842
196	10366	2788
197	10424	2737
198	10482	2686
199	10544	2636
200	10608	2586
201	10669	2535
202	10744	2487
203	10814	2438
204	10873	2386
205	10929	2334
206	10991	2283
207	11054	2232
208	11122	2181
209	11180	2129
210	11255	2080
211	11320	2029
212	11371	1975
213	11416	1920
214	11462	1866
215	11515	1812
216	11568	1759
217	11621	1705
218	11667	1651
219	11710	1596
220	11759	1543
221	11807	1489
222	11849	1434
223	11889	1380
224	11940	1326
225	11992	1273
226	12042	1220
227	12084	1166
228	12142	1113
229	12202	1061
230	12259	1008
231	12315	955
232	12376	903
233	12427	849
234	12473	796
235	12524	742
236	12572	689
237	12637	637
238	12691	584
239	12735	530
240	12776	477
241	12818	423
242	12859	370
243	12903	317
244	12948	264
245	13001	211
246	13072	158
247	13137	105
248	13216	53
249	13292	0
